
NAZWA_WYPOZYCZALNI                                 NAZWA_PRODUCENTA                                   PRACOWNIK                                                                                             LICZBA_OBSLUZONYCH_WYPOZYCZEN    RANKING
-------------------------------------------------- -------------------------------------------------- ----------------------------------------------------------------------------------------------------- ----------------------------- ----------
MotoHire                                           Keeway                                             Krzysztof Szymanski                                                                                                              70         22
MotoHire                                           Aeon                                               Krzysztof Wozniak                                                                                                                70         22
MotoHire                                           CFMoto                                             Katarzyna Szymanski                                                                                                              70         22
MotoHire                                           Suzuki                                             Pawel Nowak                                                                                                                      69         23
MotoHire                                           Keeway                                             Krzysztof Kowalski                                                                                                               67         24
MotoHire                                           Aeon                                               Katarzyna Szymanski                                                                                                              67         24
MotoHire                                           Suzuki                                             Katarzyna Wozniak                                                                                                                66         25
MotoHire                                           CFMoto                                             Krzysztof Wozniak                                                                                                                66         25
MotoHire                                           Peugeot                                            Krzysztof Szymanski                                                                                                              66         25
MotoHire                                           Keeway                                             Katarzyna Wozniak                                                                                                                65         26
MotoHire                                           Rieju                                              Tomasz Dabrowski                                                                                                                 64         27

NAZWA_WYPOZYCZALNI                                 NAZWA_PRODUCENTA                                   PRACOWNIK                                                                                             LICZBA_OBSLUZONYCH_WYPOZYCZEN    RANKING
-------------------------------------------------- -------------------------------------------------- ----------------------------------------------------------------------------------------------------- ----------------------------- ----------
MotoHire                                           Rieju                                              Pawel Szymanski                                                                                                                  63         28
MotoHire                                           Rieju                                              Krzysztof Kowalski                                                                                                               63         28
MotoHire                                           Keeway                                             Pawel Nowak                                                                                                                      63         28
MotoHire                                           Aeon                                               Katarzyna Wozniak                                                                                                                62         29
MotoHire                                           Suzuki                                             Pawel Szymanski                                                                                                                  62         29
MotoHire                                           TGB                                                Anna Wisniewski                                                                                                                  62         29
MotoHire                                           Keeway                                             Anna Wisniewski                                                                                                                  61         30
MotoHire                                           Aeon                                               Tomasz Dabrowski                                                                                                                 61         30
MotoHire                                           CFMoto                                             Katarzyna Wozniak                                                                                                                59         31
MotoHire                                           Peugeot                                            Pawel Szymanski                                                                                                                  59         31
MotoHire                                           Keeway                                             Tomasz Dabrowski                                                                                                                 59         31

NAZWA_WYPOZYCZALNI                                 NAZWA_PRODUCENTA                                   PRACOWNIK                                                                                             LICZBA_OBSLUZONYCH_WYPOZYCZEN    RANKING
-------------------------------------------------- -------------------------------------------------- ----------------------------------------------------------------------------------------------------- ----------------------------- ----------
MotoHire                                           Super Soco                                         Katarzyna Wozniak                                                                                                                59         31
MotoHire                                           TGB                                                Katarzyna Wozniak                                                                                                                58         32
MotoHire                                           Rieju                                              Katarzyna Wozniak                                                                                                                58         32
MotoHire                                           Suzuki                                             Katarzyna Szymanski                                                                                                              58         32
MotoHire                                           Suzuki                                             Anna Wisniewski                                                                                                                  58         32
MotoHire                                           Super Soco                                         Tomasz Dabrowski                                                                                                                 58         32
MotoHire                                           Aeon                                               Krzysztof Szymanski                                                                                                              57         33
MotoHire                                           Peugeot                                            Tomasz Dabrowski                                                                                                                 57         33
MotoHire                                           Aeon                                               Pawel Szymanski                                                                                                                  56         34
MotoHire                                           Rieju                                              Krzysztof Wozniak                                                                                                                56         34
MotoHire                                           Rieju                                              Katarzyna Szymanski                                                                                                              56         34

NAZWA_WYPOZYCZALNI                                 NAZWA_PRODUCENTA                                   PRACOWNIK                                                                                             LICZBA_OBSLUZONYCH_WYPOZYCZEN    RANKING
-------------------------------------------------- -------------------------------------------------- ----------------------------------------------------------------------------------------------------- ----------------------------- ----------
MotoHire                                           E-Twow                                             Pawel Szymanski                                                                                                                  56         34
MotoHire                                           Rieju                                              Magdalena Kaminski                                                                                                               55         35
MotoHire                                           Suzuki                                             Tomasz Dabrowski                                                                                                                 54         36
MotoHire                                           Super Soco                                         Katarzyna Szymanski                                                                                                              54         36
MotoHire                                           CFMoto                                             Pawel Nowak                                                                                                                      54         36
MotoHire                                           TGB                                                Krzysztof Kowalski                                                                                                               53         37
MotoHire                                           TGB                                                Pawel Nowak                                                                                                                      53         37
MotoHire                                           Peugeot                                            Katarzyna Wozniak                                                                                                                52         38
MotoHire                                           Peugeot                                            Anna Wisniewski                                                                                                                  52         38
MotoHire                                           E-Twow                                             Anna Wisniewski                                                                                                                  52         38
MotoHire                                           Bajaj                                              Krzysztof Kowalski                                                                                                               52         38

NAZWA_WYPOZYCZALNI                                 NAZWA_PRODUCENTA                                   PRACOWNIK                                                                                             LICZBA_OBSLUZONYCH_WYPOZYCZEN    RANKING
-------------------------------------------------- -------------------------------------------------- ----------------------------------------------------------------------------------------------------- ----------------------------- ----------
MotoHire                                           Suzuki                                             Krzysztof Szymanski                                                                                                              52         38
MotoHire                                           TGB                                                Krzysztof Szymanski                                                                                                              52         38
MotoHire                                           Super Soco                                         Anna Wisniewski                                                                                                                  52         38
MotoHire                                           TGB                                                Katarzyna Szymanski                                                                                                              51         39
MotoHire                                           TGB                                                Magdalena Kaminski                                                                                                               51         39
MotoHire                                           E-Twow                                             Krzysztof Wozniak                                                                                                                51         39
MotoHire                                           Peugeot                                            Krzysztof Wozniak                                                                                                                51         39
MotoHire                                           Bajaj                                              Magdalena Kaminski                                                                                                               51         39
MotoHire                                           Ducati                                             Krzysztof Wozniak                                                                                                                50         40
MotoHire                                           Rieju                                              Pawel Nowak                                                                                                                      50         40
MotoHire                                           TGB                                                Pawel Szymanski                                                                                                                  49         41

NAZWA_WYPOZYCZALNI                                 NAZWA_PRODUCENTA                                   PRACOWNIK                                                                                             LICZBA_OBSLUZONYCH_WYPOZYCZEN    RANKING
-------------------------------------------------- -------------------------------------------------- ----------------------------------------------------------------------------------------------------- ----------------------------- ----------
MotoHire                                           E-Twow                                             Magdalena Kaminski                                                                                                               49         41
MotoHire                                           Aeon                                               Magdalena Kaminski                                                                                                               49         41
MotoHire                                           Super Soco                                         Pawel Szymanski                                                                                                                  49         41
MotoHire                                           Bajaj                                              Anna Wisniewski                                                                                                                  48         42
MotoHire                                           Aprilia                                            Katarzyna Szymanski                                                                                                              48         42
MotoHire                                           Aprilia                                            Pawel Nowak                                                                                                                      48         42
MotoHire                                           Aprilia                                            Katarzyna Wozniak                                                                                                                47         43
MotoHire                                           Ducati                                             Pawel Nowak                                                                                                                      47         43
MotoHire                                           Malaguti                                           Krzysztof Szymanski                                                                                                              47         43
MotoHire                                           Aprilia                                            Krzysztof Szymanski                                                                                                              47         43
MotoHire                                           Malaguti                                           Tomasz Dabrowski                                                                                                                 46         44

NAZWA_WYPOZYCZALNI                                 NAZWA_PRODUCENTA                                   PRACOWNIK                                                                                             LICZBA_OBSLUZONYCH_WYPOZYCZEN    RANKING
-------------------------------------------------- -------------------------------------------------- ----------------------------------------------------------------------------------------------------- ----------------------------- ----------
MotoHire                                           Peugeot                                            Magdalena Kaminski                                                                                                               46         44
MotoHire                                           Aprilia                                            Krzysztof Wozniak                                                                                                                46         44
MotoHire                                           Ducati                                             Krzysztof Kowalski                                                                                                               46         44
MotoHire                                           Super Soco                                         Magdalena Kaminski                                                                                                               46         44
MotoHire                                           Peugeot                                            Pawel Nowak                                                                                                                      46         44
MotoHire                                           Ducati                                             Tomasz Dabrowski                                                                                                                 45         45
MotoHire                                           Ducati                                             Krzysztof Szymanski                                                                                                              45         45
MotoHire                                           Super Soco                                         Krzysztof Kowalski                                                                                                               45         45
MotoHire                                           Bajaj                                              Katarzyna Szymanski                                                                                                              45         45
MotoHire                                           Ducati                                             Katarzyna Szymanski                                                                                                              45         45
MotoHire                                           Ducati                                             Anna Wisniewski                                                                                                                  44         46

NAZWA_WYPOZYCZALNI                                 NAZWA_PRODUCENTA                                   PRACOWNIK                                                                                             LICZBA_OBSLUZONYCH_WYPOZYCZEN    RANKING
-------------------------------------------------- -------------------------------------------------- ----------------------------------------------------------------------------------------------------- ----------------------------- ----------
MotoHire                                           Bajaj                                              Pawel Szymanski                                                                                                                  44         46
MotoHire                                           Malaguti                                           Anna Wisniewski                                                                                                                  43         47
MotoHire                                           Bajaj                                              Tomasz Dabrowski                                                                                                                 42         48
MotoHire                                           E-Twow                                             Krzysztof Szymanski                                                                                                              42         48
MotoHire                                           Aprilia                                            Pawel Szymanski                                                                                                                  42         48
MotoHire                                           Bajaj                                              Krzysztof Wozniak                                                                                                                42         48
MotoHire                                           Peugeot                                            Krzysztof Kowalski                                                                                                               42         48
MotoHire                                           Bajaj                                              Pawel Nowak                                                                                                                      41         49
MotoHire                                           Gogoro                                             Pawel Nowak                                                                                                                      41         49
MotoHire                                           Super Soco                                         Krzysztof Wozniak                                                                                                                41         49
MotoHire                                           Gogoro                                             Krzysztof Kowalski                                                                                                               41         49

NAZWA_WYPOZYCZALNI                                 NAZWA_PRODUCENTA                                   PRACOWNIK                                                                                             LICZBA_OBSLUZONYCH_WYPOZYCZEN    RANKING
-------------------------------------------------- -------------------------------------------------- ----------------------------------------------------------------------------------------------------- ----------------------------- ----------
MotoHire                                           Malaguti                                           Krzysztof Kowalski                                                                                                               41         49
MotoHire                                           E-Twow                                             Katarzyna Szymanski                                                                                                              41         49
MotoHire                                           Aprilia                                            Anna Wisniewski                                                                                                                  40         50
MotoHire                                           Aprilia                                            Magdalena Kaminski                                                                                                               40         50
MotoHire                                           Bajaj                                              Krzysztof Szymanski                                                                                                              40         50
MotoHire                                           Gogoro                                             Pawel Szymanski                                                                                                                  39         51
MotoHire                                           E-Twow                                             Tomasz Dabrowski                                                                                                                 39         51
MotoHire                                           E-Twow                                             Krzysztof Kowalski                                                                                                               39         51
MotoHire                                           Aprilia                                            Krzysztof Kowalski                                                                                                               39         51
MotoHire                                           Peugeot                                            Katarzyna Szymanski                                                                                                              39         51
MotoHire                                           E-Twow                                             Pawel Nowak                                                                                                                      38         52

NAZWA_WYPOZYCZALNI                                 NAZWA_PRODUCENTA                                   PRACOWNIK                                                                                             LICZBA_OBSLUZONYCH_WYPOZYCZEN    RANKING
-------------------------------------------------- -------------------------------------------------- ----------------------------------------------------------------------------------------------------- ----------------------------- ----------
MotoHire                                           Bajaj                                              Katarzyna Wozniak                                                                                                                38         52
MotoHire                                           Super Soco                                         Pawel Nowak                                                                                                                      38         52
MotoHire                                           Gogoro                                             Katarzyna Wozniak                                                                                                                37         53
MotoHire                                           Super Soco                                         Krzysztof Szymanski                                                                                                              37         53
MotoHire                                           Honda                                              Katarzyna Szymanski                                                                                                              37         53
MotoHire                                           Ducati                                             Magdalena Kaminski                                                                                                               37         53
MotoHire                                           Malaguti                                           Pawel Nowak                                                                                                                      36         54
MotoHire                                           Ducati                                             Pawel Szymanski                                                                                                                  36         54
MotoHire                                           Gogoro                                             Katarzyna Szymanski                                                                                                              36         54
MotoHire                                           Malaguti                                           Katarzyna Wozniak                                                                                                                36         54
MotoHire                                           TGB                                                Krzysztof Wozniak                                                                                                                36         54

NAZWA_WYPOZYCZALNI                                 NAZWA_PRODUCENTA                                   PRACOWNIK                                                                                             LICZBA_OBSLUZONYCH_WYPOZYCZEN    RANKING
-------------------------------------------------- -------------------------------------------------- ----------------------------------------------------------------------------------------------------- ----------------------------- ----------
MotoHire                                           Honda                                              Krzysztof Szymanski                                                                                                              35         55
MotoHire                                           Malaguti                                           Pawel Szymanski                                                                                                                  35         55
MotoHire                                           Gogoro                                             Magdalena Kaminski                                                                                                               35         55
MotoHire                                           Gogoro                                             Krzysztof Szymanski                                                                                                              35         55
MotoHire                                           Ducati                                             Katarzyna Wozniak                                                                                                                34         56
MotoHire                                           Honda                                              Magdalena Kaminski                                                                                                               33         57
MotoHire                                           Malaguti                                           Krzysztof Wozniak                                                                                                                33         57
MotoHire                                           Aprilia                                            Tomasz Dabrowski                                                                                                                 32         58
MotoHire                                           Kawasaki                                           Krzysztof Szymanski                                                                                                              32         58
MotoHire                                           Honda                                              Pawel Szymanski                                                                                                                  32         58
MotoHire                                           Honda                                              Krzysztof Wozniak                                                                                                                32         58

NAZWA_WYPOZYCZALNI                                 NAZWA_PRODUCENTA                                   PRACOWNIK                                                                                             LICZBA_OBSLUZONYCH_WYPOZYCZEN    RANKING
-------------------------------------------------- -------------------------------------------------- ----------------------------------------------------------------------------------------------------- ----------------------------- ----------
MotoHire                                           Malaguti                                           Katarzyna Szymanski                                                                                                              32         58
MotoHire                                           Moto Guzzi                                         Krzysztof Szymanski                                                                                                              31         59
MotoHire                                           Loncin                                             Anna Wisniewski                                                                                                                  31         59
MotoHire                                           Gogoro                                             Tomasz Dabrowski                                                                                                                 31         59
MotoHire                                           Loncin                                             Pawel Szymanski                                                                                                                  31         59
MotoHire                                           Moto Guzzi                                         Pawel Szymanski                                                                                                                  31         59
MotoHire                                           Gogoro                                             Krzysztof Wozniak                                                                                                                31         59
MotoHire                                           Honda                                              Tomasz Dabrowski                                                                                                                 31         59
MotoHire                                           Moto Guzzi                                         Katarzyna Wozniak                                                                                                                30         60
MotoHire                                           Sym                                                Tomasz Dabrowski                                                                                                                 30         60
MotoHire                                           Malaguti                                           Magdalena Kaminski                                                                                                               29         61

NAZWA_WYPOZYCZALNI                                 NAZWA_PRODUCENTA                                   PRACOWNIK                                                                                             LICZBA_OBSLUZONYCH_WYPOZYCZEN    RANKING
-------------------------------------------------- -------------------------------------------------- ----------------------------------------------------------------------------------------------------- ----------------------------- ----------
MotoHire                                           E-Twow                                             Katarzyna Wozniak                                                                                                                29         61
MotoHire                                           Yamaha                                             Krzysztof Kowalski                                                                                                               29         61
MotoHire                                           TGB                                                Tomasz Dabrowski                                                                                                                 28         62
MotoHire                                           Honda                                              Krzysztof Kowalski                                                                                                               28         62
MotoHire                                           Moto Guzzi                                         Krzysztof Wozniak                                                                                                                28         62
MotoHire                                           Moto Guzzi                                         Katarzyna Szymanski                                                                                                              27         63
MotoHire                                           Honda                                              Pawel Nowak                                                                                                                      27         63
MotoHire                                           Moto Guzzi                                         Tomasz Dabrowski                                                                                                                 27         63
MotoHire                                           Gogoro                                             Anna Wisniewski                                                                                                                  26         64
MotoHire                                           Sym                                                Katarzyna Szymanski                                                                                                              26         64
MotoHire                                           Honda                                              Katarzyna Wozniak                                                                                                                24         65

NAZWA_WYPOZYCZALNI                                 NAZWA_PRODUCENTA                                   PRACOWNIK                                                                                             LICZBA_OBSLUZONYCH_WYPOZYCZEN    RANKING
-------------------------------------------------- -------------------------------------------------- ----------------------------------------------------------------------------------------------------- ----------------------------- ----------
MotoHire                                           Loncin                                             Magdalena Kaminski                                                                                                               24         65
MotoHire                                           Moto Guzzi                                         Magdalena Kaminski                                                                                                               23         66
MotoHire                                           Kawasaki                                           Magdalena Kaminski                                                                                                               23         66
MotoHire                                           Yamaha                                             Pawel Szymanski                                                                                                                  23         66
MotoHire                                           Kawasaki                                           Katarzyna Szymanski                                                                                                              22         67
MotoHire                                           NIU                                                Katarzyna Szymanski                                                                                                              22         67
MotoHire                                           Loncin                                             Katarzyna Szymanski                                                                                                              22         67
MotoHire                                           Moto Guzzi                                         Krzysztof Kowalski                                                                                                               22         67
MotoHire                                           Moto Guzzi                                         Pawel Nowak                                                                                                                      22         67
MotoHire                                           Kawasaki                                           Pawel Szymanski                                                                                                                  22         67
MotoHire                                           Honda                                              Anna Wisniewski                                                                                                                  22         67

NAZWA_WYPOZYCZALNI                                 NAZWA_PRODUCENTA                                   PRACOWNIK                                                                                             LICZBA_OBSLUZONYCH_WYPOZYCZEN    RANKING
-------------------------------------------------- -------------------------------------------------- ----------------------------------------------------------------------------------------------------- ----------------------------- ----------
MotoHire                                           Yamaha                                             Krzysztof Szymanski                                                                                                              22         67
